requests_per_ip_10s,requests_per_ip_60s,endpoint_entropy,latency_spike,error_rate,request_variance,label
4,21,2.6927,0,0.0588,10.982,0
6,13,1.097,1,0.0076,41.8455,0
4,20,1.6311,0,0.0084,31.7394,0
1,21,0.4639,0,0.0056,45.9014,0
32,3771,1.4294,1,0.1243,2.8486,1
4,20,1.1285,0,0.0133,17.4978,0
2,15,1.9237,0,0.0054,92.6424,0
2,17,1.0521,1,0.0067,71.6528,0
2,23,2.6992,1,0.0043,45.9807,0
2,17,1.2582,0,0.053,58.087,0
4,21,1.8162,0,0.0015,40.5164,0
2,18,1.7957,0,0.0026,86.1846,0
3,22,1.0325,0,0.0161,42.6115,0
3,21,1.9995,0,0.0075,69.1329,0
4,13,1.6483,0,0.0174,84.1394,0
2,19,1.8534,0,0.0081,86.9444,0
1,20,1.5739,0,0.0313,54.0295,0
4,16,1.7543,0,0.0101,54.1776,0
1,17,1.2577,0,0.0319,43.2174,0
3,22,1.8954,0,0.052,29.4836,0
4,23,0.6623,0,0.032,78.1654,0
0,10,1.8934,0,0.0108,10.0385,0
3,16,1.4846,0,0.0255,85.9479,0
3,13,1.1305,0,0.0136,63.9196,0
4,16,1.6548,0,0.042,14.0921,0
3,25,1.8171,0,0.0214,44.529,0
2,16,1.386,0,0.0097,78.7765,0
0,18,1.1411,0,0.0582,64.1559,0
4,18,1.8963,0,0.0122,40.3842,0
31,50,2.7545,1,0.4617,247.6023,1
4,18,1.751,0,0.0376,55.7951,0
5,18,1.6991,0,0.0021,34.0136,0
4,19,0.9901,1,0.0003,59.8859,0
4,17,0.6031,0,0.0117,22.891,0
6,18,2.8426,0,0.0523,75.9548,0
2,19,1.8417,0,0.0093,70.5989,0
1,12,1.2525,0,0.0175,48.9299,0
4,15,2.0237,0,0.0003,73.3918,0
1,17,2.2701,0,0.0342,69.37,0
2,27,1.2685,0,0.0197,69.6376,0
2,21,1.5805,0,0.0172,49.2565,0
0,22,1.6343,0,0.0165,26.9089,0
17,1875,1.6754,1,0.2847,5.7348,1
4,13,0.9665,0,0.0304,37.8393,0
1,15,1.4218,0,0.0407,65.2341,0
3,16,0.8485,0,0.0198,37.4879,0
807,897,0.6644,0,0.064,3.4283,1
17,41,1.09,1,0.9072,260.7775,1
2,17,1.8864,0,0.0082,47.5885,0
1,14,1.9787,0,0.0377,69.9515,0
2,13,2.0939,0,0.0459,62.1819,0
3,11,1.506,0,0.0172,22.7882,0
3,11,0.4998,1,0.0418,48.7048,0
2,21,1.4955,0,0.0003,35.3158,0
3,21,1.0883,0,0.0009,37.2809,0
4,12,0.9686,0,0.0146,55.9428,0
2,18,1.9374,1,0.0098,42.8678,0
3,20,1.4217,0,0.0141,30.2317,0
2,23,0.6228,0,0.0107,24.7609,0
6,20,1.8565,0,0.0014,67.911,0
6,29,0.1911,0,0.0048,57.2624,0
4,21,2.6209,0,0.0256,71.9755,0
0,16,2.33,0,0.022,54.8786,0
6,26,1.8483,1,0.0245,40.8701,0
5,17,1.13,0,0.0006,34.7713,0
204,703,0.7821,0,0.3689,6.1754,1
4,25,1.3038,0,0.0232,39.4527,0
2,9,1.6483,0,0.0045,45.5804,0
5,25,1.1267,0,0.0268,63.0936,0
0,18,1.4737,0,0.0304,54.6507,0
3,17,2.2405,0,0.0219,40.5448,0
3,16,1.2778,0,0.0038,77.0925,0
3,21,1.0246,0,0.0623,69.7911,0
2,14,1.4928,0,0.0185,51.5212,0
5,15,1.2565,0,0.0155,75.0207,0
3,23,1.6251,0,0.0074,66.1823,0
4,20,2.3486,0,0.0015,51.1859,0
2,12,1.8838,0,0.0118,40.471,0
5,18,1.7158,0,0.0145,10.0,0
9,26,2.1324,0,0.0401,75.0087,0
2,15,1.6767,0,0.0187,64.0353,0
2,24,2.0417,0,0.006,45.6879,0
5,99,2.976,1,0.3845,490.0551,1
1,17,0.9656,0,0.0007,73.4855,0
5,15,1.8498,0,0.0546,51.0233,0
3,21,2.0004,0,0.0075,18.3628,0
3,15,1.642,0,0.0019,55.1515,0
2,12,1.8114,0,0.0175,70.7701,0
1,23,0.0319,0,0.0122,43.7621,0
3,15,0.8098,0,0.0159,39.054,0
981,1044,0.6169,1,0.0255,1.0564,1
5,19,0.4902,0,0.0015,62.5315,0
3,15,1.5196,0,0.0004,76.802,0
2,18,1.6562,1,0.0397,91.1439,0
2,16,1.5466,0,0.052,44.2718,0
0,18,1.518,1,0.0097,68.7348,0
4,20,0.7215,0,0.0085,26.5868,0
1,12,1.1557,0,0.0404,69.5716,0
0,13,2.3414,0,0.0063,43.7911,0
1,11,1.2229,0,0.0526,88.511,0
3,24,0.7084,0,0.0039,43.5596,0
4,17,0.916,0,0.0136,56.8876,0
1,16,1.6532,0,0.0414,58.7757,0
7,21,1.3138,0,0.0408,40.993,0
4,22,0.8794,0,0.0218,72.3511,0
6,21,1.4715,0,0.0053,73.2523,0
2,9,1.6378,0,0.0334,61.3228,0
2,11,1.6393,0,0.0062,38.7919,0
2,18,1.084,0,0.0595,104.8916,0
2,20,1.352,0,0.0139,62.6857,0
1,15,0.6136,0,0.0397,68.6716,0
1,18,1.6671,0,0.019,47.9275,0
12,4974,1.5547,0,0.3805,9.6582,1
3,20,2.0782,0,0.0585,68.3504,0
2,14,1.1803,0,0.0003,37.6633,0
2,8,1.7715,0,0.0172,53.1945,0
1,17,0.4473,0,0.0012,21.0077,0
2,24,1.7049,0,0.0129,64.3089,0
3,18,1.3419,0,0.0012,38.5605,0
3,24,1.9834,0,0.0053,54.4089,0
3,13,2.1547,0,0.0169,63.2908,0
4,23,1.4113,0,0.005,29.0719,0
2,18,1.2325,0,0.0127,19.2848,0
2,18,0.5452,0,0.0224,42.9422,0
1,16,0.6196,0,0.0192,36.9041,0
2,22,0.7462,1,0.0066,68.1689,0
4,23,1.1889,0,0.016,45.2701,0
5,17,1.4787,0,0.0616,78.795,0
3,25,1.5849,0,0.0014,51.7879,0
4,23,1.2746,1,0.0422,91.7253,0
17,55,1.8244,1,0.8354,127.2003,1
7,26,1.4201,0,0.0024,51.1006,0
3,20,1.4374,0,0.0054,63.841,0
2,14,1.3717,0,0.0552,58.3257,0
3,19,2.1038,0,0.0251,24.0535,0
2,20,1.629,0,0.012,40.1305,0
3,15,1.4022,0,0.0001,34.5798,0
3,21,1.9704,0,0.0003,70.168,0
2,16,1.8723,0,0.0267,51.1514,0
3,13,1.4523,0,0.0123,14.4751,0
5,17,1.4136,0,0.0245,27.1468,0
2,19,1.8972,0,0.0407,60.0432,0
3,21,1.3797,0,0.0047,52.4779,0
5,17,1.4357,0,0.0243,67.0107,0
3,18,1.3233,0,0.0029,41.2227,0
2,13,0.8017,0,0.1282,36.1442,0
8,54,0.1038,0,0.7155,17.2832,1
3,18,1.7722,0,0.0451,47.0,0
2,13,1.4121,0,0.0257,83.5045,0
1,13,1.1172,0,0.0644,45.3393,0
5,23,1.8762,0,0.032,70.5637,0
1,16,1.6928,0,0.0003,40.5401,0
3,19,1.6074,0,0.0081,36.6004,0
586,808,0.1258,0,0.0081,8.7957,1
1,17,1.5522,0,0.0008,46.2616,0
5,19,1.4123,0,0.0025,37.9037,0
0,17,1.7167,0,0.008,63.3479,0
7,36,2.2712,0,0.0265,52.4966,0
2,21,1.4906,0,0.0135,41.2935,0
3,13,1.8855,0,0.027,85.7574,0
4,26,1.1339,0,0.0107,62.0405,0
3,19,0.3898,0,0.0272,22.613,0
4,22,1.4293,0,0.0052,64.6728,0
3,15,1.1689,0,0.0236,47.305,0
1,14,1.394,0,0.0169,86.1509,0
2,14,1.3428,0,0.0215,20.3627,0
1,14,1.5477,0,0.0538,94.487,0
27,126,2.3164,1,0.4354,100.1448,1
7,21,1.6476,0,0.0351,49.1626,0
3,13,0.9456,0,0.0204,59.9942,0
1,20,1.4604,1,0.003,76.3106,0
954,1181,0.8541,1,0.2764,9.1369,1
7,30,1.5818,0,0.0122,39.1992,0
0,11,1.744,0,0.1318,50.1916,0
3,19,1.613,0,0.0677,39.3958,0
0,13,1.6529,0,0.0027,62.2059,0
614,662,0.8371,1,0.0183,3.023,1
4,20,1.5237,0,0.0087,69.1415,0
58,524,0.4875,1,0.0032,4.6925,1
2,19,1.446,0,0.0261,52.8036,0
4,21,1.5301,0,0.0221,40.9177,0
4,87,0.1424,0,0.5101,12.9876,1
6,20,2.5646,0,0.0014,52.9261,0
3,17,0.964,0,0.0755,44.6712,0
4,14,1.3974,0,0.1018,96.6833,0
1,9,1.001,0,0.0325,34.7314,0
3,15,1.6514,0,0.0052,17.1834,0
2,13,1.3172,0,0.0238,10.0,0
1,20,1.3716,0,0.0083,81.5076,0
2,19,2.1318,0,0.0117,76.6054,0
0,14,1.2232,0,0.0327,56.2645,0
3,19,0.9303,0,0.0618,37.4918,0
1,20,1.4951,0,0.0021,19.7342,0
3,13,1.264,0,0.0011,37.6033,0
2,20,1.04,0,0.15,15.1918,0
3,16,1.6316,1,0.0013,51.3365,0
3,23,2.0842,0,0.0002,26.8071,0
1,17,1.5525,0,0.0235,32.2289,0
4,15,1.3402,0,0.0071,62.1211,0
4,17,1.6932,0,0.0004,22.5,0
3,24,1.4877,0,0.0131,63.6084,0
4,25,1.4681,1,0.0155,63.6179,0
5,21,1.5193,0,0.0126,53.2636,0
3,22,2.212,1,0.0102,78.2754,0
3,18,2.3655,0,0.0142,45.2319,0
6,21,1.4894,0,0.0691,42.8889,0
1,11,1.1198,0,0.0177,42.1278,0
7,26,2.023,0,0.0264,104.7126,0
936,1153,0.9783,1,0.0077,3.7716,1
3,20,1.6489,0,0.013,87.6948,0
2,11,0.9503,0,0.0025,64.2825,0
1,20,1.3198,0,0.0968,69.8072,0
0,16,1.2449,0,0.0042,10.0,0
158,242,0.4817,1,0.1277,3.651,1
5,16,1.4133,0,0.0244,78.9427,0
2,16,1.9641,1,0.0172,30.5406,0
28,3651,1.7219,1,0.3742,4.8809,1
2,15,1.3466,0,0.0543,50.1029,0
4,11,1.0891,0,0.0468,36.0091,0
5,18,1.0104,0,0.0032,49.7764,0
3,20,1.5457,1,0.0535,67.9764,0
4,22,2.1095,0,0.0006,30.7907,0
3,14,1.6021,0,0.0471,44.14,0
3,16,1.0921,0,0.0012,50.3593,0
14,64,0.186,0,0.9647,13.3581,1
4,23,1.194,1,0.0078,27.1569,0
3,16,1.7039,0,0.0047,50.2315,0
7,20,0.7748,0,0.0119,26.8756,0
5,19,1.3745,0,0.0076,14.4631,0
4,27,1.9095,0,0.0167,46.1507,0
3,15,0.91,0,0.0205,86.5762,0
3,16,0.8372,0,0.0216,59.7755,0
2,15,0.6421,0,0.0078,42.331,0
3,12,1.6286,0,0.0232,45.9963,0
4,15,1.9035,0,0.0238,38.5902,0
5,21,1.1109,0,0.0676,81.3885,0
4,19,2.4118,0,0.0257,36.3094,0
2,16,1.6657,0,0.0054,54.4508,0
3,17,1.4657,0,0.0053,73.0358,0
2,25,1.1366,0,0.0044,59.7691,0
5,21,2.1615,0,0.0203,54.2774,0
5,19,2.2165,0,0.0319,28.5445,0
5,16,1.7511,0,0.0219,27.4485,0
1,15,0.9408,0,0.0183,32.4977,0
5,26,0.9025,0,0.0536,62.3983,0
5,18,1.9169,0,0.0161,73.0378,0
3,17,1.1066,0,0.0138,45.5299,0
4,14,0.8904,0,0.0056,65.1364,0
4,12,1.2587,0,0.0004,45.0756,0
1,17,1.5665,0,0.0114,59.1076,0
513,997,0.2063,1,0.1407,7.1681,1
2,24,2.0118,0,0.0322,54.4028,0
1,67,0.3021,0,0.7797,14.274,1
5,19,1.1479,1,0.0197,38.1099,0
41,2390,2.3969,1,0.1486,19.7795,1
4,26,1.8023,0,0.001,22.4061,0
4,16,1.0598,0,0.039,22.2168,0
2,19,1.5257,0,0.0315,28.2908,0
2,19,1.7016,0,0.0015,68.0052,0
2,16,1.2911,0,0.0014,32.243,0
5,23,2.2186,0,0.0014,76.2751,0
5,25,2.1987,0,0.0149,41.8847,0
5,16,1.2538,0,0.0199,51.2437,0
5,19,1.8751,0,0.0326,42.1289,0
1,18,2.1518,1,0.0001,82.1127,0
2,12,2.829,0,0.012,86.2997,0
4,46,0.35,1,0.9286,18.3613,1
4,20,1.0179,0,0.0003,64.1949,0
3,17,1.2872,0,0.0172,68.1111,0
5,22,1.3534,0,0.0399,41.7378,0
1,14,1.3026,0,0.0092,55.2221,0
1,17,1.4531,0,0.024,49.559,0
7,29,0.5581,0,0.0163,33.7462,0
13,2799,1.1733,1,0.1533,19.5276,1
2,16,1.4465,0,0.0051,67.8871,0
4,16,0.8774,0,0.0643,82.0438,0
4,19,1.7633,0,0.007,55.3783,0
3,19,0.9062,0,0.0397,56.1964,0
1,14,1.5518,0,0.0178,14.685,0
6,21,1.2987,0,0.0075,48.1615,0
0,14,1.5932,0,0.0031,65.5931,0
2,21,0.8882,0,0.0093,71.6186,0
0,17,1.4626,0,0.0028,45.4985,0
5,21,2.2426,0,0.0383,56.7266,0
3,20,1.0836,0,0.0136,14.4616,0
8,17,1.3479,0,0.0037,38.2032,0
1,19,1.8022,0,0.022,37.7475,0
2,13,2.193,0,0.0123,52.8862,0
2,20,1.38,0,0.0137,56.6503,0
4,24,1.0619,0,0.0108,24.5727,0
4,19,1.7851,0,0.024,45.8041,0
2,14,2.1497,0,0.0627,23.7361,0
4,21,1.6761,0,0.0042,56.8692,0
4,21,1.0165,0,0.0007,48.036,0
4,20,1.3229,1,0.0046,27.7424,0
2,21,0.6975,1,0.0332,37.1265,0
7,20,2.2498,0,0.0104,49.2761,0
4,16,1.6801,0,0.0033,39.0034,0
6,18,2.131,0,0.011,54.9392,0
2,6,1.4308,0,0.0152,42.4515,0
2,16,1.3516,0,0.0325,96.9061,0
6,18,1.4914,0,0.0176,72.0154,0
0,18,1.9256,0,0.0104,57.0296,0
5,24,1.8481,0,0.0018,63.6327,0
3,21,2.4045,0,0.0473,53.6561,0
0,18,1.8875,0,0.0041,99.1794,0
2,25,0.8116,0,0.0332,23.0622,0
4,24,1.7611,0,0.0372,25.2118,0
1,24,0.4547,0,0.0157,67.7285,0
4,17,1.3122,0,0.0002,65.7904,0
1,19,1.9586,0,0.02,80.6987,0
1,16,0.693,0,0.0195,54.2601,0
2,21,1.8501,0,0.0376,50.4466,0
1,18,1.8157,0,0.0148,57.428,0
4,22,1.3941,0,0.0157,82.7023,0
2,12,0.507,0,0.0235,55.7812,0
6,24,1.2988,0,0.0007,16.5228,0
12,44,0.1848,0,0.8736,29.4137,1
2,23,0.9888,0,0.0002,13.0348,0
5,26,1.1467,0,0.0391,18.536,0
3,10,1.7095,0,0.0083,55.485,0
5,13,1.0511,0,0.0167,78.1753,0
6,19,1.3151,0,0.1255,54.5277,0
2,23,1.3019,0,0.0005,87.3826,0
3,9,0.7209,0,0.0298,37.1978,0
2,12,1.5264,0,0.0117,57.0328,0
3,15,1.5529,0,0.0213,41.0365,0
2,15,1.3327,0,0.0035,50.5491,0
2,17,1.5297,0,0.0003,81.8109,0
3,21,0.7766,0,0.0015,68.3569,0
4,19,1.8725,0,0.0011,45.7727,0
6,23,1.4149,0,0.0074,40.2481,0
7,21,1.7853,0,0.0116,48.4303,0
4,23,2.7038,0,0.0106,28.359,0
2,17,0.9496,0,0.0955,70.2503,0
5,18,1.8475,0,0.0125,88.9309,0
2,22,1.7003,0,0.0167,94.5225,0
1,18,2.0348,0,0.0003,62.0616,0
1,14,1.5996,0,0.0104,48.5388,0
3,94,0.0599,0,0.9293,23.0484,1
3,14,0.8907,0,0.0363,76.0992,0
5,19,2.1037,0,0.0042,57.8397,0
4,14,1.6251,0,0.0062,10.0,0
1,12,1.8924,0,0.0001,69.3483,0
5,16,1.4047,0,0.0008,72.0909,0
4,18,1.5706,0,0.0073,94.0347,0
16,2343,1.7518,0,0.1664,11.7843,1
1,15,1.4362,0,0.0248,51.8104,0
3,20,1.3551,0,0.0008,42.2706,0
5,16,1.7932,0,0.0027,42.0775,0
0,11,1.5737,0,0.0067,43.2743,0
3,16,0.694,0,0.1001,70.8443,0
4,21,1.6625,0,0.0218,51.7126,0
3,21,1.9641,0,0.0073,28.627,0
2,14,1.2412,0,0.0844,73.9131,0
4,24,1.0023,0,0.0491,54.7896,0
1,21,1.3774,0,0.0233,42.9383,0
3,18,1.2767,0,0.0501,43.3344,0
4,26,0.3467,0,0.0534,21.9811,0
1,13,1.493,0,0.0484,40.704,0
0,22,1.1131,0,0.0474,63.0414,0
3,20,2.148,0,0.0523,70.225,0
3,19,0.753,0,0.0072,41.5126,0
2,13,1.4459,0,0.0193,72.242,0
5,20,0.9169,0,0.0123,58.2079,0
